CaseNumber,IUCR,Description,LocationDescription,Arrest,District,CommunityArea,UpdatedOn,Latitude,Longitude,Date,Time,Year,Month,Day
JF381592,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,11,27,2023-01-03 15:40:27,41.8698,-87.7009,2022-09-03,12:06:00,2022,9,3
JF382505,420.0,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,0,11,27,2023-01-03 15:40:27,41.8741,-87.7108,2022-09-04,06:27:00,2022,9,4
JF382596,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,0,18,8,2023-01-03 15:40:27,41.8975,-87.6387,2022-09-03,12:34:00,2022,9,3
JF382622,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,2,38,2023-01-03 15:40:27,41.8111,-87.6223,2022-09-04,09:36:00,2022,9,4
JF382799,460.0,SIMPLE,STREET,0,25,19,2023-01-03 15:40:27,41.9356,-87.7713,2022-09-04,12:00:00,2022,9,4
JF374756,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,16,17,2023-01-03 15:40:27,41.9378,-87.8244,2022-08-29,11:50:00,2022,8,29
JF382802,460.0,SIMPLE,SMALL RETAIL STORE,0,1,32,2023-01-03 15:40:27,41.886,-87.6295,2022-09-04,12:07:00,2022,9,4
JF382725,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,22,73,2023-01-03 15:40:27,41.7303,-87.6621,2022-09-04,10:38:00,2022,9,4
JF382773,460.0,SIMPLE,SMALL RETAIL STORE,0,11,23,2023-01-03 15:40:27,41.9024,-87.7404,2022-09-04,11:00:00,2022,9,4
JF382804,440.0,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,0,4,46,2023-01-03 15:40:27,41.7347,-87.5514,2022-09-04,12:45:00,2022,9,4
JF382891,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,25,19,2023-01-03 15:40:27,41.9299,-87.782,2022-09-03,08:00:00,2022,9,3
JF382096,460.0,SIMPLE,RESTAURANT,0,7,67,2023-01-03 15:40:27,41.7787,-87.6642,2022-09-03,20:07:00,2022,9,3
JF383005,460.0,SIMPLE,SIDEWALK,0,11,27,2023-01-03 15:40:27,41.8738,-87.6945,2022-09-04,15:00:00,2022,9,4
JF382973,460.0,SIMPLE,HOSPITAL BUILDING / GROUNDS,0,5,49,2023-01-03 15:40:27,41.6926,-87.6244,2022-09-04,15:15:00,2022,9,4
JF383134,486.0,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,25,19,2023-01-03 15:40:27,41.9159,-87.7461,2022-09-04,17:30:00,2022,9,4
JF382960,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,8,66,2023-01-03 15:40:27,41.7665,-87.6865,2022-09-04,14:00:00,2022,9,4
JF383176,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,3,69,2023-01-03 15:40:27,41.7619,-87.5957,2022-09-04,09:00:00,2022,9,4
JF383203,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,4,43,2023-01-03 15:40:27,41.757,-87.5556,2022-09-04,17:45:00,2022,9,4
JF383109,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,3,69,2023-01-03 15:40:27,41.7791,-87.6156,2022-09-04,16:43:00,2022,9,4
JF383287,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,19,6,2023-01-03 15:40:27,41.9401,-87.6425,2022-09-04,20:15:00,2022,9,4
JF383024,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,15,25,2023-01-03 15:40:27,41.8952,-87.7458,2022-09-04,15:49:00,2022,9,4
JF383348,454.0,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,1,17,14,2023-01-03 15:40:27,41.9646,-87.7263,2022-09-04,21:37:00,2022,9,4
JF383253,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,19,4,2023-01-03 15:40:27,41.9645,-87.6791,2022-09-04,19:58:00,2022,9,4
JF383404,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,35,2023-01-03 15:40:27,41.844,-87.6221,2022-09-04,23:27:00,2022,9,4
JF383492,460.0,SIMPLE,BAR OR TAVERN,0,18,8,2023-01-03 15:40:27,41.8932,-87.6347,2022-09-05,01:50:00,2022,9,5
JF383487,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,20,77,2023-01-03 15:40:27,41.9878,-87.6581,2022-09-05,01:50:00,2022,9,5
JF383498,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,11,23,2023-01-03 15:40:27,41.8972,-87.7253,2022-09-05,02:04:00,2022,9,5
JF383375,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,9,59,2023-01-03 15:40:27,41.828,-87.6728,2022-07-24,23:00:00,2022,7,24
JF383473,460.0,SIMPLE,BAR OR TAVERN,0,1,33,2023-01-03 15:40:27,41.8521,-87.6238,2022-09-05,01:28:00,2022,9,5
JF383424,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,10,30,2023-01-03 15:40:27,41.8436,-87.705,2022-09-04,23:15:00,2022,9,4
JF383559,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,2,38,2023-01-03 15:40:27,41.8112,-87.6151,2022-09-05,03:18:00,2022,9,5
JF383550,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,8,70,2023-01-03 15:40:27,41.7514,-87.721,2022-09-05,03:41:00,2022,9,5
JF382907,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,4,51,2023-01-03 15:40:27,41.7201,-87.571,2022-09-04,13:58:00,2022,9,4
JF383771,460.0,SIMPLE,ALLEY,0,4,46,2023-01-03 15:40:27,41.7275,-87.5469,2022-09-05,10:00:00,2022,9,5
JF383692,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,7,68,2023-01-03 15:40:27,41.7807,-87.6497,2022-09-05,08:50:00,2022,9,5
JF383824,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,9,58,2023-01-03 15:40:27,41.8195,-87.6995,2022-09-05,11:00:00,2022,9,5
JF383789,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,0,4,46,2023-01-03 15:40:27,41.751,-87.5505,2022-09-05,10:16:00,2022,9,5
JF383986,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,25,19,2023-01-03 15:40:27,41.9259,-87.7572,2022-06-01,21:00:00,2022,6,1
JF383998,420.0,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,0,5,53,2023-01-03 15:40:27,41.6771,-87.6359,2022-09-05,13:30:00,2022,9,5
JF384122,460.0,SIMPLE,RESIDENCE - PORCH / HALLWAY,0,10,30,2023-01-03 15:40:27,41.8452,-87.7252,2022-09-05,13:30:00,2022,9,5
JF384254,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,4,46,2023-01-03 15:40:27,41.7421,-87.5612,2022-09-05,16:45:00,2022,9,5
JF384285,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,7,68,2023-01-03 15:40:27,41.7845,-87.6322,2022-09-05,17:30:00,2022,9,5
JF383947,460.0,SIMPLE,CHA PARKING LOT / GROUNDS,0,3,42,2023-01-03 15:40:27,41.7744,-87.6021,2022-08-31,21:00:00,2022,8,31
JF384261,498.0,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,0,7,68,2023-01-03 15:40:27,41.7773,-87.6408,2022-09-05,17:19:00,2022,9,5
JF384183,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,9,61,2023-01-03 15:40:27,41.8079,-87.6698,2022-09-05,16:00:00,2022,9,5
JF384182,460.0,SIMPLE,SIDEWALK,0,6,71,2023-01-03 15:40:27,41.7494,-87.661,2022-09-05,14:30:00,2022,9,5
JF384323,486.0,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,3,40,2023-01-03 15:40:27,41.7809,-87.622,2022-09-05,18:04:00,2022,9,5
JF384394,496.0,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,1,28,2023-01-03 15:40:27,41.8673,-87.6396,2022-09-05,16:00:00,2022,9,5
JF384351,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,7,68,2023-01-03 15:40:27,41.7736,-87.6507,2022-09-05,18:40:00,2022,9,5
JF384357,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,22,73,2023-01-03 15:40:27,41.7265,-87.6373,2022-09-05,18:50:00,2022,9,5
JF384463,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,8,57,2023-01-03 15:40:27,41.8078,-87.7277,2022-09-05,16:00:00,2022,9,5
JF384332,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,9,60,2023-01-03 15:40:27,41.843,-87.644,2022-09-05,18:30:00,2022,9,5
JF384353,460.0,SIMPLE,SIDEWALK,0,12,28,2023-01-03 15:40:27,41.8685,-87.6627,2022-09-05,19:05:00,2022,9,5
JF384444,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,8,66,2023-01-03 15:40:27,41.7787,-87.6848,2022-09-05,20:30:00,2022,9,5
JF384387,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,8,65,2023-01-03 15:40:27,41.775,-87.7211,2022-09-05,16:30:00,2022,9,5
JF384488,498.0,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,0,10,29,2023-01-03 15:40:27,41.8651,-87.7337,2022-09-05,21:30:00,2022,9,5
JF384518,460.0,SIMPLE,STREET,0,2,37,2023-01-03 15:40:27,41.811,-87.6297,2022-09-05,00:00:00,2022,9,5
JF384491,460.0,SIMPLE,STREET,0,16,11,2023-01-03 15:40:27,41.9813,-87.7732,2022-09-05,21:15:00,2022,9,5
JF384625,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,19,4,2023-01-03 15:40:27,41.9617,-87.6936,2022-09-06,01:00:00,2022,9,6
JF384514,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,5,53,2023-01-03 15:40:27,41.6741,-87.6177,2022-09-05,21:30:00,2022,9,5
JF384626,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,16,11,2023-01-03 15:40:27,41.9746,-87.7602,2022-09-06,01:15:00,2022,9,6
JF384562,486.0,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,10,29,2023-01-03 15:40:27,41.8662,-87.7209,2022-09-05,23:30:00,2022,9,5
JF382274,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,SIDEWALK,0,14,21,2023-01-03 15:40:27,41.9358,-87.6959,2022-09-04,00:12:00,2022,9,4
JF384554,496.0,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE - YARD (FRONT / BACK),0,9,61,2023-01-03 15:40:27,41.8059,-87.6722,2022-09-05,21:46:00,2022,9,5
JF384834,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,6,44,2023-01-03 15:40:27,41.7446,-87.6291,2022-09-06,01:00:00,2022,9,6
JF384929,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,4,46,2023-01-03 15:40:27,41.7443,-87.5479,2022-09-04,22:00:00,2022,9,4
JF384908,496.0,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,1,10,29,2023-01-03 15:40:27,41.864,-87.7178,2022-09-06,09:14:00,2022,9,6
JF385208,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,43,2023-01-03 15:40:27,41.7669,-87.5714,2022-09-05,20:00:00,2022,9,5
JF385031,460.0,SIMPLE,APARTMENT,0,12,28,2023-01-03 15:40:27,41.8615,-87.6625,2022-09-03,21:55:00,2022,9,3
JF384816,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,16,15,2023-01-03 15:40:27,41.9575,-87.7794,2022-09-06,08:10:00,2022,9,6
JF385104,460.0,SIMPLE,APARTMENT,0,22,73,2023-01-03 15:40:27,41.7321,-87.6646,2022-09-03,13:30:00,2022,9,3
JF384948,486.0,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,0,5,54,2023-01-03 15:40:27,41.6579,-87.6048,2022-09-06,09:00:00,2022,9,6
JF385526,460.0,SIMPLE,SCHOOL - PUBLIC BUILDING,0,8,70,2023-01-03 15:40:27,41.7509,-87.7085,2022-09-06,14:00:00,2022,9,6
JF385291,460.0,SIMPLE,RESIDENCE - PORCH / HALLWAY,0,11,27,2023-01-03 15:40:27,41.8774,-87.6969,2022-09-03,16:00:00,2022,9,3
JF385579,486.0,DOMESTIC BATTERY SIMPLE,PARK PROPERTY,0,22,75,2023-01-03 15:40:27,41.6994,-87.6475,2022-09-05,23:30:00,2022,9,5
JF385125,460.0,SIMPLE,SIDEWALK,1,25,25,2023-04-26 15:39:29,41.9021,-87.7674,2022-09-06,11:25:00,2022,9,6
JF385414,460.0,SIMPLE,RESTAURANT,1,2,41,2023-01-03 15:40:27,41.7995,-87.591,2022-09-06,15:00:00,2022,9,6
JF385404,460.0,SIMPLE,SCHOOL - PUBLIC GROUNDS,0,4,52,2023-01-03 15:40:27,41.7045,-87.5281,2022-09-06,12:30:00,2022,9,6
JF385608,460.0,SIMPLE,NURSING / RETIREMENT HOME,0,20,77,2023-01-03 15:40:27,41.9882,-87.6553,2022-09-06,12:45:00,2022,9,6
JF385561,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,16,15,2023-01-03 15:40:27,41.947,-87.7483,2022-09-06,15:07:00,2022,9,6
JF384126,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,12,31,2023-01-03 15:40:27,41.855,-87.6699,2022-06-03,10:00:00,2022,6,3
JF385378,460.0,SIMPLE,SCHOOL - PUBLIC BUILDING,0,12,31,2023-01-03 15:40:27,41.8529,-87.6636,2022-09-06,12:30:00,2022,9,6
JF385800,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,30,2023-01-03 15:40:27,41.84,-87.7086,2022-09-05,22:00:00,2022,9,5
JF385726,486.0,DOMESTIC BATTERY SIMPLE,ALLEY,0,10,30,2023-01-03 15:40:27,41.8443,-87.7238,2022-09-06,17:00:00,2022,9,6
JF385686,460.0,SIMPLE,STREET,0,1,32,2023-01-03 15:40:27,41.8854,-87.631,2022-09-06,17:32:00,2022,9,6
JF385809,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,OTHER COMMERCIAL TRANSPORTATION,0,2,36,2023-01-03 15:40:27,41.8198,-87.6003,2022-09-06,07:30:00,2022,9,6
JF386004,454.0,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,1,2,41,2023-01-03 15:40:27,41.7995,-87.591,2022-09-06,16:22:00,2022,9,6
JF385607,460.0,SIMPLE,STREET,0,1,32,2023-01-03 15:40:27,41.8855,-87.6279,2022-09-06,16:40:00,2022,9,6
JF385769,460.0,SIMPLE,APARTMENT,1,2,38,2023-01-03 15:40:27,41.813,-87.6208,2022-09-06,17:30:00,2022,9,6
JF386056,460.0,SIMPLE,STREET,0,2,38,2023-01-03 15:40:27,41.8143,-87.623,2022-09-06,23:25:00,2022,9,6
JF386101,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,0,6,44,2023-01-03 15:40:27,41.7327,-87.622,2022-09-06,23:00:00,2022,9,6
JF386113,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,18,8,2023-01-03 15:40:27,41.9021,-87.6329,2022-09-07,00:25:00,2022,9,7
JF386129,486.0,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,19,6,2023-01-03 15:40:27,41.9546,-87.6642,2022-09-07,01:30:00,2022,9,7
JF386137,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,5,54,2023-01-03 15:40:27,41.6479,-87.6165,2022-09-07,01:50:00,2022,9,7
JF386170,460.0,SIMPLE,SIDEWALK,0,12,24,2023-01-03 15:40:27,41.8957,-87.6964,2022-09-07,04:12:00,2022,9,7
JF386175,460.0,SIMPLE,RESIDENCE,0,2,41,2023-01-03 15:40:27,41.7968,-87.5926,2022-09-07,04:30:00,2022,9,7
JF386153,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,1,3,69,2023-01-03 15:40:27,41.759,-87.6248,2022-09-07,02:20:00,2022,9,7
JF386338,460.0,SIMPLE,APARTMENT,0,8,66,2023-01-03 15:40:27,41.7835,-87.702,2022-09-06,18:00:00,2022,9,6
JF386403,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,7,67,2023-01-03 15:40:27,41.7831,-87.666,2022-09-06,19:00:00,2022,9,6
JF387105,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,40,2023-01-03 15:40:27,41.7832,-87.6206,2022-09-05,21:30:00,2022,9,5
JF387092,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,16,17,2023-01-03 15:40:27,41.9492,-87.8269,2022-09-07,17:20:00,2022,9,7
JF386885,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,1,25,23,2023-01-03 15:40:27,41.9056,-87.7338,2022-09-07,15:16:00,2022,9,7
JF386030,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,0,11,23,2023-01-03 15:40:27,41.8972,-87.7204,2022-09-06,21:00:00,2022,9,6
JF387171,460.0,SIMPLE,RESIDENCE - PORCH / HALLWAY,0,10,29,2023-01-03 15:40:27,41.8617,-87.7312,2022-09-05,21:00:00,2022,9,5
JF387038,420.0,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,PARKING LOT / GARAGE (NON RESIDENTIAL),1,9,61,2023-01-26 15:41:43,41.8084,-87.6828,2022-09-07,17:02:00,2022,9,7
JF387282,460.0,SIMPLE,RESIDENCE - YARD (FRONT / BACK),1,8,66,2023-01-03 15:40:27,41.7602,-87.688,2022-09-07,20:00:00,2022,9,7
JF387240,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,12,24,2023-01-03 15:40:27,41.8934,-87.6661,2022-09-07,18:30:00,2022,9,7
JF384157,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,42,2023-01-03 15:40:27,41.7744,-87.5997,2022-09-05,15:55:00,2022,9,5
JF386931,460.0,SIMPLE,RESIDENCE - PORCH / HALLWAY,0,10,29,2023-01-03 15:40:27,41.8562,-87.72,2022-09-07,16:03:00,2022,9,7
JF387152,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,29,2023-01-03 15:40:27,41.8603,-87.7079,2022-09-07,18:30:00,2022,9,7
JF387380,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,11,26,2023-01-03 15:40:27,41.8736,-87.7361,2022-09-07,18:42:00,2022,9,7
JF387258,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,43,2023-01-03 15:40:27,41.7668,-87.5698,2022-09-03,15:30:00,2022,9,3
JF387463,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,17,16,2023-01-03 15:40:27,41.9593,-87.7158,2022-09-08,00:25:00,2022,9,8
JF387526,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,18,8,2023-01-03 15:40:27,41.9099,-87.6385,2022-09-06,21:00:00,2022,9,6
JF387514,460.0,SIMPLE,RESIDENCE,0,18,8,2023-01-03 15:40:27,41.9084,-87.6385,2022-09-08,02:45:00,2022,9,8
JF387457,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,42,2023-01-03 15:40:27,41.7745,-87.5929,2022-09-08,00:44:00,2022,9,8
JF387544,460.0,SIMPLE,CTA STATION,0,10,29,2023-01-03 15:40:27,41.854,-87.7248,2022-09-08,05:17:00,2022,9,8
JF382644,460.0,SIMPLE,RESIDENCE,0,11,26,2023-01-03 15:40:27,41.8761,-87.731,2022-09-04,09:30:00,2022,9,4
JF387803,460.0,SIMPLE,SCHOOL - PRIVATE GROUNDS,0,4,46,2023-01-03 15:40:27,41.7419,-87.5661,2022-09-07,10:00:00,2022,9,7
JF387980,460.0,SIMPLE,OTHER (SPECIFY),0,7,68,2023-01-03 15:40:27,41.7629,-87.6444,2022-09-08,11:50:00,2022,9,8
JF387942,460.0,SIMPLE,SCHOOL - PUBLIC GROUNDS,0,7,68,2023-01-03 15:40:27,41.766,-87.6529,2022-09-07,16:00:00,2022,9,7
JF387592,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,NURSING / RETIREMENT HOME,0,18,8,2023-01-03 15:40:27,41.9006,-87.6306,2022-09-08,06:20:00,2022,9,8
JF388025,460.0,SIMPLE,BANK,0,25,25,2023-01-03 15:40:27,41.9096,-87.7506,2022-09-08,11:15:00,2022,9,8
JF388374,460.0,SIMPLE,SCHOOL - PUBLIC GROUNDS,0,12,24,2023-01-03 15:40:27,41.8952,-87.6646,2022-09-07,14:50:00,2022,9,7
JF388364,420.0,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,0,7,68,2023-01-03 15:40:27,41.7756,-87.6459,2022-09-08,15:15:00,2022,9,8
JF388535,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,7,68,2023-01-03 15:40:27,41.7644,-87.6401,2022-09-08,18:30:00,2022,9,8
JF388598,460.0,SIMPLE,CTA BUS,0,19,6,2023-01-03 15:40:27,41.9404,-87.6511,2022-09-08,19:31:00,2022,9,8
JF388212,486.0,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,6,49,2023-01-03 15:40:27,41.7217,-87.6265,2022-09-08,14:56:00,2022,9,8
JF388618,460.0,SIMPLE,STREET,1,4,43,2023-01-03 15:40:27,41.7572,-87.5623,2022-09-08,18:57:00,2022,9,8
JF388774,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,16,15,2023-01-03 15:40:27,41.9554,-87.7781,2022-09-08,23:30:00,2022,9,8
JF388827,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,2,41,2023-01-03 15:40:27,41.7979,-87.6063,2022-09-09,00:40:00,2022,9,9
JF388808,460.0,SIMPLE,ALLEY,0,12,28,2023-01-03 15:40:27,41.8842,-87.6506,2022-09-08,23:15:00,2022,9,8
JF388823,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,19,5,2023-01-03 15:40:27,41.954,-87.6925,2022-09-08,23:00:00,2022,9,8
JF388883,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,STREET,0,7,68,2023-01-03 15:40:27,41.7794,-87.6397,2022-09-09,02:59:00,2022,9,9
JF388800,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,25,23,2023-01-03 15:40:27,41.9098,-87.7331,2022-09-08,22:30:00,2022,9,8
JF388831,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,3,42,2023-04-20 15:40:03,41.7739,-87.6107,2022-09-08,19:00:00,2022,9,8
JF388756,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,17,14,2023-01-03 15:40:27,41.971,-87.722,2022-09-08,22:55:00,2022,9,8
JF388824,486.0,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,18,8,2023-01-03 15:40:27,41.8892,-87.6316,2022-09-09,01:00:00,2022,9,9
JF388650,460.0,SIMPLE,SCHOOL - PUBLIC GROUNDS,0,10,29,2023-01-03 15:40:27,41.8654,-87.7251,2022-09-06,10:00:00,2022,9,6
JF388891,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,0,25,25,2023-01-03 15:40:27,41.9105,-87.7516,2022-09-09,02:48:00,2022,9,9
JF388921,460.0,SIMPLE,APARTMENT,0,3,69,2023-01-03 15:40:27,41.778,-87.6156,2022-09-09,04:30:00,2022,9,9
JF388900,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,0,4,46,2023-01-03 15:40:27,41.7476,-87.5492,2022-09-09,04:20:00,2022,9,9
JF385285,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,6,44,2023-01-03 15:40:27,41.7394,-87.6162,2022-09-06,13:30:00,2022,9,6
JF388978,460.0,SIMPLE,STREET,0,11,26,2023-01-03 15:40:27,41.8803,-87.7355,2022-09-08,19:00:00,2022,9,8
JF389265,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,22,72,2023-01-03 15:40:27,41.7134,-87.6672,2022-09-09,11:15:00,2022,9,9
JF389273,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,22,75,2023-01-03 15:40:27,41.6882,-87.6673,2022-09-07,16:00:00,2022,9,7
JF389322,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,6,71,2023-01-03 15:40:27,41.7485,-87.664,2022-09-09,11:45:00,2022,9,9
JF389638,460.0,SIMPLE,STREET,0,11,28,2023-01-03 15:40:27,41.8721,-87.6875,2022-09-08,21:00:00,2022,9,8
JF389667,460.0,SIMPLE,ALLEY,0,8,66,2023-01-03 15:40:27,41.7762,-87.7037,2022-09-09,15:00:00,2022,9,9
JF389600,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,43,2023-01-03 15:40:27,41.7649,-87.5769,2022-09-09,05:00:00,2022,9,9
JF389739,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,2,39,2023-01-03 15:40:27,41.8071,-87.6038,2022-09-09,15:55:00,2022,9,9
JF389513,460.0,SIMPLE,APPLIANCE STORE,0,9,61,2023-01-03 15:40:27,41.8129,-87.6586,2022-09-09,14:15:00,2022,9,9
JF389572,460.0,SIMPLE,APARTMENT,0,6,44,2023-01-03 15:40:27,41.7449,-87.618,2022-09-09,15:30:00,2022,9,9
JF389867,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,31,2023-01-03 15:40:27,41.8472,-87.6855,2022-09-09,19:00:00,2022,9,9
JF381923,460.0,SIMPLE,SIDEWALK,0,11,23,2023-01-03 15:40:27,41.8901,-87.7073,2022-09-03,17:35:00,2022,9,3
JF389916,460.0,SIMPLE,STREET,0,9,61,2023-01-03 15:40:27,41.7953,-87.6412,2022-09-09,20:03:00,2022,9,9
JF390062,460.0,SIMPLE,RESIDENCE - YARD (FRONT / BACK),0,7,67,2023-01-03 15:40:27,41.7732,-87.6701,2022-09-07,23:30:00,2022,9,7
JF390126,460.0,SIMPLE,APARTMENT,1,24,1,2023-01-03 15:40:27,42.0016,-87.6594,2022-09-09,23:40:00,2022,9,9
JF390072,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,4,46,2023-01-03 15:40:27,41.7367,-87.5458,2022-09-09,21:08:00,2022,9,9
JF390124,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,12,28,2023-01-03 15:40:27,41.8776,-87.6849,2022-09-10,00:15:00,2022,9,10
JF390104,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,10,29,2023-01-03 15:40:27,41.8624,-87.7328,2022-09-10,00:00:00,2022,9,10
JF390163,460.0,SIMPLE,SIDEWALK,0,12,24,2023-01-03 15:40:27,41.8892,-87.6522,2022-09-10,00:30:00,2022,9,10
JF390039,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,12,28,2023-01-03 15:40:27,41.8815,-87.6614,2022-09-09,21:49:00,2022,9,9
JF390181,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,29,2023-01-03 15:40:27,41.8585,-87.7152,2022-09-09,22:00:00,2022,9,9
